SYMBOL,COMPANYNAME,SERIES,ISIN NUMBER
20MICRONS,20 Microns Limited,EQ,INE144J01027
21STCENMGM,21st Century Management Services Limited,EQ,INE253B01015
3IINFOTECH,3i Infotech Limited,EQ,INE748C01020
3MINDIA,3M India Limited,EQ,INE470A01017
3PLAND,3P Land Holdings Limited,EQ,INE105C01023
5PAISA,5Paisa Capital Limited,EQ,INE618L01018
63MOONS,63 moons technologies limited,EQ,INE111B01023
8KMILES,8K Miles Software Services Limited,EQ,INE650K01021
A2ZINFRA,A2Z Infra Engineering Limited,EQ,INE619I01012
AARTIDRUGS,Aarti Drugs Limited,EQ,INE767A01016
AARTIIND,Aarti Industries Limited,EQ,INE769A01020
AARVEEDEN,Aarvee Denims & Exports Limited,EQ,INE273D01019
ABAN,Aban Offshore Limited,EQ,INE421A01028
ABB,ABB India Limited,EQ,INE117A01022
ABBOTINDIA,Abbott India Limited,EQ,INE358A01014
ABCAPITAL,Aditya Birla Capital Limited,EQ,INE674K01013
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,INE647O01011
ABGSHIP,ABG Shipyard Limited,BZ,INE067H01016
ABMINTLTD,ABM International Limited,BE,INE251C01017
ACC,ACC Limited,EQ,INE012A01025
ACCELYA,Accelya Kale Solutions Limited,EQ,INE793A01012
ACE,Action Construction Equipment Limited,EQ,INE731H01025
ADANIENT,Adani Enterprises Limited,EQ,INE423A01024
ADANIGREEN,Adani Green Energy Limited,EQ,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,INE742F01042
ADANIPOWER,Adani Power Limited,EQ,INE814H01011
ADANITRANS,Adani Transmission Limited,EQ,INE931S01010
ADFFOODS,ADF Foods Limited,EQ,INE982B01019
ADHUNIK,Adhunik Metaliks Limited,BE,INE400H01019
ADHUNIKIND,Adhunik Industries Limited,EQ,INE452L01012
ADLABS,Adlabs Entertainment Limited,EQ,INE172N01012
ADORWELD,Ador Welding Limited,EQ,INE045A01017
ADROITINFO,Adroit Infotech Limited,BE,INE737B01033
ADSL,Allied Digital Services Limited,EQ,INE102I01027
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,INE199C01026
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,INE837H01020
AEGISCHEM,Aegis Logistics Limited,EQ,INE208C01025
AFL,Accel Frontline Limited,EQ,INE020G01017
AGARIND,Agarwal Industrial Corporation Limited,EQ,INE204E01012
AGCNET,AGC Networks Limited,EQ,INE676A01019
AGLSL,Artemis Global Life Sciences Limited,EQ,INE517U01013
AGRITECH,Agri-Tech (India) Limited,EQ,INE449G01018
AHLEAST,Asian Hotels (East) Limited,EQ,INE926K01017
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,INE758C01029
AHLWEST,Asian Hotels (West) Limited,EQ,INE915K01010
AIAENG,AIA Engineering Limited,EQ,INE212H01026
AICHAMP,AI Champdany Industries Limited,BE,INE768E01024
AIFL,Ashapura Intimates Fashion Limited,EQ,INE428O01016
